name,system
Police Quest: In Pursuit of the Death Angel,PC
Hero's Puzzle Path,PC
Bill's Tomato Game,Amiga
Captain Planet and the Planeteers,Nintendo Entertainment System
Olympic Games: Atlanta 1996,PlayStation
Olympic Games: Atlanta 1996,3DO
Olympic Games: Atlanta 1996,Saturn
Olympic Games: Atlanta 1996,PC
Police Quest 3: The Kindred,Amiga
Police Quest 3: The Kindred,PC
Millie Meter and Her Adventures in the Oak Tree,Mac
Millie Meter and Her Adventures in the Oak Tree,PC
187: Ride or Die,PlayStation 2
187: Ride or Die,Xbox
Ultim@te Race Pro,PC
Laxius Power III,PC
Paradise Heights,PC
Mahjong Hana no Momoko Gumi,MSX
Ty the Tasmanian Tiger 2: Bush Rescue,Game Boy Advance
Ty the Tasmanian Tiger 2: Bush Rescue,PlayStation 2
Ty the Tasmanian Tiger 2: Bush Rescue,GameCube
Ty the Tasmanian Tiger 2: Bush Rescue,Xbox
Moonsweeper,Commodore 64
Moonsweeper,MSX
Moonsweeper,ZX Spectrum
Moonsweeper,Atari 2600
Moonsweeper,ColecoVision
Moonsweeper,TI-99/4A
"Simon the Sorcerer II: The Lion, the Wizard and the Wardrobe",Amiga
"Simon the Sorcerer II: The Lion, the Wizard and the Wardrobe",Mac
"Simon the Sorcerer II: The Lion, the Wizard and the Wardrobe",PC
"Simon the Sorcerer II: The Lion, the Wizard and the Wardrobe",iPhone
Thud Ridge: American Aces in 'Nam,Commodore 64
Thud Ridge: American Aces in 'Nam,PC
Summon Night Craft Sword Monogatari: Hajimari no Ishi,Game Boy Advance
NFL Football '94 Starring Joe Montana,Genesis
Cheerios Play Time,Mac
Cheerios Play Time,PC
Command & Conquer: Red Alert - Retaliation,PlayStation
Vlad Tepes Dracula,PC
Mystic Ark,Super Nintendo Entertainment System
Infiltrator,Amstrad CPC
Infiltrator,Apple II
Infiltrator,Commodore 64
Infiltrator,ZX Spectrum
Infiltrator,Nintendo Entertainment System
Infiltrator,Atari 8-bit
Infiltrator,PC
Barbie Sparkling Ice Show,PC
RunMan's Monster Fracas,PC
Hydlide II: Shine of Darkness,MSX
Hydlide II: Shine of Darkness,PC
Hydlide II: Shine of Darkness,NEC PC-8801
Hydlide II: Shine of Darkness,NEC PC-9801
Hydlide II: Shine of Darkness,Sharp X1
Hydlide II: Shine of Darkness,FM-7
Hydlide II: Shine of Darkness,Sharp MZ
Far Cry: Instincts - Predator,Xbox 360
Far Cry: Instincts - Predator,Xbox Live Marketplace
CIMA: The Enemy,Game Boy Advance
The Journeyman Project: Pegasus Prime,Mac
The Journeyman Project: Pegasus Prime,PlayStation
The Journeyman Project: Pegasus Prime,Pippin
Elektrek,Amiga
Clandestiny,PC
ArmA: Combat Operations,PC
Ghosthunter,PlayStation 2
"Ed, Edd n Eddy: The Mis-Edventures",Game Boy Advance
"Ed, Edd n Eddy: The Mis-Edventures",PlayStation 2
"Ed, Edd n Eddy: The Mis-Edventures",GameCube
"Ed, Edd n Eddy: The Mis-Edventures",Xbox
"Ed, Edd n Eddy: The Mis-Edventures",PC
Battleground 4: Shiloh,PC
Ax Battler: A Legend of Golden Axe,Game Gear
Trilogy,Commodore 64
Trilogy,ZX Spectrum
Trilogy,PC
The Sandbox of God,PC
Bomb Jack,Amiga
Bomb Jack,Game Boy
Bomb Jack,Amstrad CPC
Bomb Jack,Atari ST
Bomb Jack,Commodore 64
Bomb Jack,MSX
Bomb Jack,ZX Spectrum
Bomb Jack,Commodore 128
Bomb Jack,Arcade
Bomb Jack,Wii Shop
Bomb Jack,NEC PC-8801
Bomb Jack,GamePark 32
Bomb Jack,Mega Duck
Bomb Jack,Sega SG-1000
Bomb Jack,Commodore 16
Stronghold,PC
Stronghold,FM Towns
Music Construction Set,Apple II
Music Construction Set,Atari ST
Music Construction Set,PC
Bonnie's Bookstore,Mac
Bonnie's Bookstore,PC
Taxi Racer,PC
UFO: Alien Invasion,Mac
UFO: Alien Invasion,PC
Toppler,PC
The King of Fighters: Maximum Impact,PlayStation 2
The King of Fighters: Maximum Impact,Xbox
The Rocky Horror Show,Amstrad CPC
The Rocky Horror Show,Commodore 64
The Rocky Horror Show,ZX Spectrum
The Rocky Horror Show,Commodore 128
X-COM: UFO Defense,Amiga
X-COM: UFO Defense,PlayStation
X-COM: UFO Defense,Amiga CD32
X-COM: UFO Defense,PC
Carnival,Atari 2600
Carnival,ColecoVision
Carnival,Intellivision
Carnival,Arcade
Gemstone Healer,Apple II
Gemstone Healer,Commodore 64
Terra Cognita,Amstrad CPC
Terra Cognita,Commodore 64
Terra Cognita,ZX Spectrum
Ace Ventura Pet Detective: The Case of the Serial Shaver,PC
The Adventures of Jimmy Neutron: Boy Genius - Attack of the Twonkies,Game Boy Advance
